Program Kodu,Üniversite İsmi,Program İsmi,Başarı Sırası,Başarı Puanı
105390344,İNÖNÜ ÜNİVERSİTESİ (MALATYA),"MALATYA OSB MESLEK YÜKSEKOKULU
Gıda Teknolojisi
(2 Yıllık)",1.326.617,264.76067
103050521,DİCLE ÜNİVERSİTESİ (DİYARBAKIR),"ERGANİ MESLEK YÜKSEKOKULU
Muhasebe ve Vergi Uygulamaları
(2 Yıllık)",1.326.742,264.75317
107950272,TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ,"HAYRABOLU MESLEK YÜKSEKOKULU
Makine
(2 Yıllık)",1.326.830,264.74677
106750241,KIRKLARELİ ÜNİVERSİTESİ,"LÜLEBURGAZ MESLEK YÜKSEKOKULU
Grafik Tasarımı
(2 Yıllık)",1.326.870,264.74337
107850097,MUŞ ALPARSLAN ÜNİVERSİTESİ,"SOSYAL BİLİMLER MESLEK YÜKSEKOKULU
Bankacılık ve Sigortacılık
(2 Yıllık)",1.327.265,264.7166
109751354,BURSA ULUDAĞ ÜNİVERSİTESİ,"MUSTAFAKEMALPAŞA MESLEK YÜKSEKOKULU
İşletme Yönetimi
(2 Yıllık)",1.327.483,264.70305
202650627,DEMİROĞLU BİLİM ÜNİVERSİTESİ (İSTANBUL),"SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU
Anestezi (%50 İndirimli)
(2 Yıllık)",1.327.590,264.69627
104350966,TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ,"TOKAT MESLEK YÜKSEKOKULU
İnşaat Teknolojisi
(2 Yıllık)",1.327.728,264.68597
108570499,OSMANİYE KORKUT ATA ÜNİVERSİTESİ,"DÜZİÇİ MESLEK YÜKSEKOKULU
Sosyal Güvenlik
(2 Yıllık)",1.327.900,264.67578
106750771,KIRKLARELİ ÜNİVERSİTESİ,"SOSYAL BİLİMLER MESLEK YÜKSEKOKULU
Lojistik
(2 Yıllık)",1.327.962,264.67051
109751433,BURSA ULUDAĞ ÜNİVERSİTESİ,"YENİŞEHİR İBRAHİM ORHAN MESLEK YÜKSEKOKULU
İklimlendirme ve Soğutma Teknolojisi
(2 Yıllık)",1.328.016,264.66665
100950284,AMASYA ÜNİVERSİTESİ,"GÜMÜŞHACIKÖY HASAN DUMAN MESLEK YÜKSEKOKULU
Bankacılık ve Sigortacılık
(2 Yıllık)",1.328.220,264.65446
101050881,ANADOLU ÜNİVERSİTESİ (ESKİŞEHİR),"AÇIKÖĞRETİM FAKÜLTESİ
Halkla İlişkiler ve Tanıtım (Açıköğretim)
(2 Yıllık)",1.328.430,264.64135
106300143,KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ (KARAMAN),"ERMENEK MESLEK YÜKSEKOKULU
Tıbbi Veri İşleme Teknikerliği
(2 Yıllık)",1.328.491,264.63774
106490255,KASTAMONU ÜNİVERSİTESİ,"ÇATALZEYTİN MESLEK YÜKSEKOKULU
Bilgisayar Programcılığı
(2 Yıllık)",1.328.589,264.63073
109150238,SİNOP ÜNİVERSİTESİ,"AYANCIK MESLEK YÜKSEKOKULU
Kontrol ve Otomasyon Teknolojisi
(2 Yıllık)",1.328.618,264.62892
110350813,ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ,"ZONGULDAK MESLEK YÜKSEKOKULU (Kilimli)
İşletme Yönetimi
(2 Yıllık)",1.328.753,264.6208
100590071,AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ,"ELEŞKİRT MESLEK YÜKSEKOKULU
Laborant ve Veteriner Sağlık
(2 Yıllık)",1.328.760,264.6199
204610372,NUH NACİ YAZGAN ÜNİVERSİTESİ (KAYSERİ),"GÜZEL SANATLAR VE TASARIM FAKÜLTESİ
İç Mimarlık ve Çevre Tasarımı (Ücretli)
(4 Yıllık)",1.328.798,202.94457
112150855,TRABZON ÜNİVERSİTESİ,"BEŞİKDÜZÜ MESLEK YÜKSEKOKULU
Muhasebe ve Vergi Uygulamaları
(2 Yıllık)",1.328.960,264.60748
106450456,KASTAMONU ÜNİVERSİTESİ,"TAŞKÖPRÜ MESLEK YÜKSEKOKULU
Bilgisayar Programcılığı
(2 Yıllık)",1.329.117,264.59693
102150762,BİTLİS EREN ÜNİVERSİTESİ,"ADİLCEVAZ MESLEK YÜKSEKOKULU
Özel Güvenlik ve Koruma
(2 Yıllık)",1.329.143,264.59504
108750614,RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ (RİZE),"TEKNİK BİLİMLER MESLEK YÜKSEKOKULU
Su Altı Teknolojisi
(2 Yıllık)",1.329.223,264.59
105150214,HİTİT ÜNİVERSİTESİ (ÇORUM),"SOSYAL BİLİMLER MESLEK YÜKSEKOKULU
Muhasebe ve Vergi Uygulamaları
(2 Yıllık)",1.329.309,264.58281
101590127,BALIKESİR ÜNİVERSİTESİ,"KEPSUT MESLEK YÜKSEKOKULU
Özel Güvenlik ve Koruma
(2 Yıllık)",1.329.580,264.5665
205053411,İSTANBUL TOPKAPI ÜNİVERSİTESİ,"PLATO MESLEK YÜKSEKOKULU
Tıbbi Görüntüleme Teknikleri (%50 İndirimli)
(2 Yıllık)",1.330.310,264.51631
104351364,TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ,"ALMUS MESLEK YÜKSEKOKULU
Avcılık ve Yaban Hayatı
(2 Yıllık)",1.330.381,264.51135
107951164,TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ,"MARMARA EREĞLİSİ MESLEK YÜKSEKOKULU
Büro Yönetimi ve Yönetici Asistanlığı
(2 Yıllık)",1.330.503,264.50293
100150459,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,"GEREDE MESLEK YÜKSEKOKULU
Muhasebe ve Vergi Uygulamaları
(2 Yıllık)",1.330.796,264.48116
100950178,AMASYA ÜNİVERSİTESİ,"AMASYA TEKNİK BİLİMLER MESLEK YÜKSEKOKULU
İnşaat Teknolojisi
(2 Yıllık)",1.331.258,264.44895
100590079,AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ,"PATNOS MESLEK YÜKSEKOKULU
Biyomedikal Cihaz Teknolojisi
(2 Yıllık)",1.331.380,264.44101
107390135,BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,"BUCAK EMİN GÜLMEZ TEKNİK BİLİMLER MESLEK YÜKSEKOKULU
Bilgisayar Destekli Tasarım ve Animasyon
(2 Yıllık)",1.331.547,264.42939
107390126,BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,"AĞLASUN MESLEK YÜKSEKOKULU
Bilişim Güvenliği Teknolojisi
(2 Yıllık)",1.331.594,264.4262
203051396,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,"MESLEK YÜKSEKOKULU
Sivil Hava Ulaştırma İşletmeciliği (%50 İndirimli)
(2 Yıllık)",1.331.707,264.4188
100450474,AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR),"ÇAY MESLEK YÜKSEKOKULU
Elektrik
(2 Yıllık)",1.331.715,264.41847
104390106,TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ,"ARTOVA MESLEK YÜKSEKOKULU
Çocuk Koruma ve Bakım Hizmetleri
(2 Yıllık)",1.331.786,264.41353
110350779,ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ,"ALAPLI MESLEK YÜKSEKOKULU
Muhasebe ve Vergi Uygulamaları
(2 Yıllık)",1.331.908,264.40474
102150198,BİTLİS EREN ÜNİVERSİTESİ,"TATVAN MESLEK YÜKSEKOKULU
Harita ve Kadastro
(2 Yıllık)",1.331.962,264.4008
108090076,NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ,"KOZAKLI MESLEK YÜKSEKOKULU
Sağlık Turizmi İşletmeciliği
(2 Yıllık)",1.332.242,264.38238
108251371,ONDOKUZ MAYIS ÜNİVERSİTESİ (SAMSUN),"VEZİRKÖPRÜ MESLEK YÜKSEKOKULU
İnternet ve Ağ Teknolojileri (Uzaktan Öğretim)
(2 Yıllık)",1.332.325,264.37704
107390364,BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,"BUCAK EMİN GÜLMEZ TEKNİK BİLİMLER MESLEK YÜKSEKOKULU
Yenilenebilir Enerji Teknikerliği
(2 Yıllık)",1.332.703,264.35324
108251317,ONDOKUZ MAYIS ÜNİVERSİTESİ (SAMSUN),"BAFRA MESLEK YÜKSEKOKULU
Bitki Koruma
(2 Yıllık)",1.332.903,264.33922
105290056,IĞDIR ÜNİVERSİTESİ,"IĞDIR TEKNİK BİLİMLER MESLEK YÜKSEKOKULU
Tapu ve Kadastro
(2 Yıllık)",1.332.954,264.33541
109490419,TRAKYA ÜNİVERSİTESİ (EDİRNE),"KEŞAN MESLEK YÜKSEKOKULU
Yenilenebilir Enerji Teknikerliği
(2 Yıllık)",1.332.987,264.33319
103651055,ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ,"KEMAH MESLEK YÜKSEKOKULU
Bankacılık ve Sigortacılık (Uzaktan Öğretim)
(2 Yıllık)",1.333.067,264.32752
111851647,SAKARYA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,"PAMUKOVA MESLEK YÜKSEKOKULU
Gıda Kalite Kontrolü ve Analizi
(2 Yıllık)",1.333.433,264.30137
103650375,ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ,"MESLEK YÜKSEKOKULU
Muhasebe ve Vergi Uygulamaları
(2 Yıllık)",1.333.639,264.28758
108090109,NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ,"GÜLŞEHİR SOSYAL BİLİMLER MESLEK YÜKSEKOKULU
Özel Güvenlik ve Koruma
(2 Yıllık)",1.333.691,264.28426
100351782,AYDIN ADNAN MENDERES ÜNİVERSİTESİ,"BUHARKENT MESLEK YÜKSEKOKULU
Büro Yönetimi ve Yönetici Asistanlığı
(2 Yıllık)",1.333.736,264.28116
101950696,BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ,"SÖĞÜT MESLEK YÜKSEKOKULU
Büro Yönetimi ve Yönetici Asistanlığı
(2 Yıllık)",1.333.824,264.27313
105000353,HARRAN ÜNİVERSİTESİ (ŞANLIURFA),"ORGANİZE SANAYİ BÖLGESİ MESLEK YÜKSEKOKULU
Otomotiv Teknolojisi
(2 Yıllık)",1.334.144,264.25121
103451357,EGE ÜNİVERSİTESİ (İZMİR),"BERGAMA MESLEK YÜKSEKOKULU
Eser Koruma
(2 Yıllık)",1.334.248,264.24334
100150786,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,"GEREDE MESLEK YÜKSEKOKULU
Moda Tasarımı
(2 Yıllık)",1.334.283,264.24174
200690727,BAŞKENT ÜNİVERSİTESİ (ANKARA),"SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU
Ağız ve Diş Sağlığı (%50 İndirimli)
(2 Yıllık)",1.334.345,264.23678
104550082,GİRESUN ÜNİVERSİTESİ,"TİREBOLU MEHMET BAYRAK MESLEK YÜKSEKOKULU
Bankacılık ve Sigortacılık
(2 Yıllık)",1.334.927,264.19677
112553091,ISPARTA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,"YENİŞARBADEMLİ MESLEK YÜKSEKOKULU
Avcılık ve Yaban Hayatı
(2 Yıllık)",1.334.935,264.19601
109590030,MUNZUR ÜNİVERSİTESİ (TUNCELİ),"ÇEMİŞGEZEK MESLEK YÜKSEKOKULU
Sağlık Bilgi Sistemleri Teknikerliği
(2 Yıllık)",1.335.126,264.18387
108650818,PAMUKKALE ÜNİVERSİTESİ (DENİZLİ),"DENİZLİ TEKNİK BİLİMLER MESLEK YÜKSEKOKULU
Geleneksel El Sanatları
(2 Yıllık)",1.335.281,264.1735
106750814,KIRKLARELİ ÜNİVERSİTESİ,"VİZE MESLEK YÜKSEKOKULU
Sosyal Hizmetler
(2 Yıllık)",1.335.408,264.1635
100250591,ADIYAMAN ÜNİVERSİTESİ,"GÖLBAŞI MESLEK YÜKSEKOKULU
Büro Yönetimi ve Yönetici Asistanlığı
(2 Yıllık)",1.335.686,264.1438
107890031,MUŞ ALPARSLAN ÜNİVERSİTESİ,"BULANIK MESLEK YÜKSEKOKULU
Laborant ve Veteriner Sağlık
(2 Yıllık)",1.335.723,264.14138
104590197,GİRESUN ÜNİVERSİTESİ,"BULANCAK MESLEK YÜKSEKOKULU
Elektronik Teknolojisi
(2 Yıllık)",1.336.158,264.11235
209810030,İSTANBUL GALATA ÜNİVERSİTESİ,"SANAT VE SOSYAL BİLİMLER FAKÜLTESİ
Psikoloji (Ücretli)
(4 Yıllık)",1.336.684,202.04016
209310036,İSTANBUL ATLAS ÜNİVERSİTESİ,"MESLEK YÜKSEKOKULU
İlk ve Acil Yardım (%50 İndirimli)
(2 Yıllık)",1.336.777,264.06817
106051194,KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ,"SOSYAL BİLİMLER MESLEK YÜKSEKOKULU
Halkla İlişkiler ve Tanıtım
(2 Yıllık)",1.337.185,264.04241
